,0,1,2,3,4,5,6,7,8,,,
14,我祝你被强奸我祝你被谋杀,我祝你不得好死,你这该死的混蛋,活够了吧你这混蛋小心我,因为我是女的你是不是更憋屈了,竟然被一个娘们搞得一败涂地,长了根老二不代表我会不自觉地怕你,恰恰相反,你可能是个男人,,,我祝你被强奸我祝你被谋杀我祝你不得好死你这该死的混蛋活够了吧你这混蛋小心我因为我是女的你是不是更憋屈了竟然被一个娘们搞得一败涂地长了根老二不代表我会不自觉地怕你恰恰相反你可能是个男人
15,但如果你敢,再威胁我碰我或者冲我吐痰一次,我会抓住你的鸡巴蛋,然后我会把它们连根扯掉,听懂了吗,我会告诉你妈,你送上了最诚挚的祝福,葛蕾森监护,谢谢,,,但如果你敢再威胁我碰我或者冲我吐痰一次我会抓住你的鸡巴蛋然后我会把它们连根扯掉听懂了吗我会告诉你妈你送上了最诚挚的祝福葛蕾森监护谢谢
16,柯蒂斯,嗨干得不错,你又做到了,嗨老板恭喜你胜诉了,谢谢艾迪现在几点了,现在是点分加上往返路程,差不多用了个多小时,就算六个小时吧,向费尔德斯特伦的账户收费收全价,,,柯蒂斯嗨干得不错你又做到了嗨老板恭喜你胜诉了谢谢艾迪现在几点了现在是点分加上往返路程差不多用了个多小时就算六个小时吧向费尔德斯特伦的账户收费收全价
17,好山姆莱斯打过电话叫你回电话,好的我等下在屋里打,弗兰给房地产经纪人打个电话,问一下巴特尔财产权的进度,储蓄账户差不多没钱了,下个月就不够公司开销了,知道了,费尔德斯特伦,接通山姆,,,好山姆莱斯打过电话叫你回电话好的我等下在屋里打弗兰给房地产经纪人打个电话问一下巴特尔财产权的进度储蓄账户差不多没钱了下个月就不够公司开销了知道了费尔德斯特伦接通山姆
18,山姆你好吗,嗨我很好玛拉你怎么样,努力工作努力玩耍,了不起,你打过电话,对我有消息要告诉你,好消息还是坏消息,都有,你的受监护人艾伦李维特,,,山姆你好吗嗨我很好玛拉你怎么样努力工作努力玩耍了不起你打过电话对我有消息要告诉你好消息还是坏消息都有你的受监护人艾伦李维特
19,在我们巴克夏奥克斯这个分院,他刚刚死了,什么,艾伦今天早上走的抱歉,不艾伦莱维特真的吗,怎么死的,中风很严重,但他很年轻啊,刚刚六十九岁零三个月大,,,在我们巴克夏奥克斯这个分院他刚刚死了什么艾伦今天早上走的抱歉不艾伦莱维特真的吗怎么死的中风很严重但他很年轻啊刚刚六十九岁零三个月大
20,天啊,艾伦,该死他才在我们这儿半年,我以为他至少还能再支撑我们五年,该死我现在必须把他变现了,把所有事情推给他的继承人,真是太浪费了,也许他觉得你人不错,把你写进遗嘱里呢,,,天啊艾伦该死他才在我们这儿半年我以为他至少还能再支撑我们五年该死我现在必须把他变现了把所有事情推给他的继承人真是太浪费了也许他觉得你人不错把你写进遗嘱里呢
21,才怪,所以好消息是什么,因为艾伦的悲痛离去,我们现在有空位了,他的房间,那是转角的豪华房,是的,先等我一会儿,玛拉你不是城里唯一的玩家,,,才怪所以好消息是什么因为艾伦的悲痛离去我们现在有空位了他的房间那是转角的豪华房是的先等我一会儿玛拉你不是城里唯一的玩家
22,我这儿还有候补名单呢,去他的候补名单多少钱,每周两千直到有人住为止,两千美元上次是五百美元,如果你不交钱别人会的,去你的山姆好吧两千美元,谢了山姆,不客气玛拉,怎么了,,,我这儿还有候补名单呢去他的候补名单多少钱每周两千直到有人住为止两千美元上次是五百美元如果你不交钱别人会的去你的山姆好吧两千美元谢了山姆不客气玛拉怎么了
23,你懂的,好好开车,马上回来,嗨佩特拉,凯伦医生正在等我,艾伦莱维特该死,抱歉我还以为他会很长寿,我知道所以我们现在,正在市场上寻找新客户,,,你懂的好好开车马上回来嗨佩特拉凯伦医生正在等我艾伦莱维特该死抱歉我还以为他会很长寿我知道所以我们现在正在市场上寻找新客户
24,有谁适合我们吗,我的确想摆脱掉几个人,那几个难伺候的混蛋,但是有一个我一直想跟你说的人,我一直在调查她,而且我觉得她也许是,不会吧,我都不想说出来,肥羊,,,有谁适合我们吗我的确想摆脱掉几个人那几个难伺候的混蛋但是有一个我一直想跟你说的人我一直在调查她而且我觉得她也许是不会吧我都不想说出来肥羊
25,是的也许吧我觉得是,别逗我,告诉我细节,拜托玛拉,我不能免费送你一个肥羊,我需要一些回报,你在金光护理院有股份对吧,对我们有些股份,让我也分一杯羹,,,是的也许吧我觉得是别逗我告诉我细节拜托玛拉我不能免费送你一个肥羊我需要一些回报你在金光护理院有股份对吧对我们有些股份让我也分一杯羹
26,拜托我在帮你挣大钱,但是我几乎没挣到什么,让我尝尝甜头,成交,但她必须是真的肥羊要讲诚信,詹妮弗彼得森,她的身体相当健康,但在最近,她出现一些失忆和糊涂的症状,,,拜托我在帮你挣大钱但是我几乎没挣到什么让我尝尝甜头成交但她必须是真的肥羊要讲诚信詹妮弗彼得森她的身体相当健康但在最近她出现一些失忆和糊涂的症状
27,严重吗,不严重但是我们可以操纵这点,举行一场按我们的方式进行的听审,她没有子女没有丈夫,没有在世的家人,一个都没有,她有很可观的保险,她告诉我她以前在芝加哥做金融工作,然后搬到这里退休,,,严重吗不严重但是我们可以操纵这点举行一场按我们的方式进行的听审她没有子女没有丈夫没有在世的家人一个都没有她有很可观的保险她告诉我她以前在芝加哥做金融工作然后搬到这里退休
28,能给我一份副本吗,当然,除了她的检查结果那样可不太道德,当然了,詹妮弗彼得森年月日生人,她住在沙尔克罗斯的威廉姆斯街号,这是一个不错的社区,价格昂贵,她七年前买了这栋住房,,,能给我一份副本吗当然除了她的检查结果那样可不太道德当然了詹妮弗彼得森年月日生人她住在沙尔克罗斯的威廉姆斯街号这是一个不错的社区价格昂贵她七年前买了这栋住房
29,完全拥有产权,信用极佳没有丝毫不良记录,没有债务没有犯罪记录,从未结婚,她在同一家公司工作了四十年,转身踢腿,她的退休应该是公司进行了裁员,清偿了债务,现在她坐在一窝金蛋上,,,完全拥有产权信用极佳没有丝毫不良记录没有债务没有犯罪记录从未结婚她在同一家公司工作了四十年转身踢腿她的退休应该是公司进行了裁员清偿了债务现在她坐在一窝金蛋上
30,像只肥得流油的鹅,看看这个,她的税收报表,上面显示她有三个单独的储蓄账户,都在替她赚取高额利息,她喜欢白天去看电影,她经常读书喜欢园艺,就是你常对付的那种老太太,她正坐在一堆钞票上,,,像只肥得流油的鹅看看这个她的税收报表上面显示她有三个单独的储蓄账户都在替她赚取高额利息她喜欢白天去看电影她经常读书喜欢园艺就是你常对付的那种老太太她正坐在一堆钞票上
31,她有钱独立有文化,这位女士简直就是我的英雄啊,凯伦,我是玛拉,开始动詹妮弗彼得森吧,你会得到你想要的股份,彼得森女士经常犯糊涂,并且表现出记忆和自理困难的问题,她的行动能力受损,,,她有钱独立有文化这位女士简直就是我的英雄啊凯伦我是玛拉开始动詹妮弗彼得森吧你会得到你想要的股份彼得森女士经常犯糊涂并且表现出记忆和自理困难的问题她的行动能力受损
32,她不能够充分地照顾自己,我相信如果她独自留在自己家中,会处于高危状态,她没有家人吗,除了我们没有人会照顾她,这太糟糕了可怜的女人,好吧葛蕾森小姐,你觉得你能收她为你的被监护人吗,我知道你需要照顾的人已经有很多了,,,她不能够充分地照顾自己我相信如果她独自留在自己家中会处于高危状态她没有家人吗除了我们没有人会照顾她这太糟糕了可怜的女人好吧葛蕾森小姐你觉得你能收她为你的被监护人吗我知道你需要照顾的人已经有很多了
33,可以法官大人,如果你需要我去照顾她的话,我可以照顾她,谢谢你玛拉,监护人证书,彼得森女士我叫玛拉葛蕾森,我和你的主治医师,凯伦艾莫斯一起合作,我能和你谈两分钟吗,,,可以法官大人如果你需要我去照顾她的话我可以照顾她谢谢你玛拉监护人证书彼得森女士我叫玛拉葛蕾森我和你的主治医师凯伦艾莫斯一起合作我能和你谈两分钟吗
34,早上好彼得森女士,我很抱歉这么早打扰你,你是位医生吗,不女士我,我能给你看看这个吗,我需要去拿我的老花镜马上就回来,我不确定这是什么东西,这是法院命令女士,法院命令,,,早上好彼得森女士我很抱歉这么早打扰你你是位医生吗不女士我我能给你看看这个吗我需要去拿我的老花镜马上就回来我不确定这是什么东西这是法院命令女士法院命令
35,但是这跟我有什么关系,这是你的名字对吧,詹妮弗彼得森你的出生日期,你的社保号码,和这个地址,我的天啊是我做错了什么吗,没有女士这是为了帮助你,法院在医生的指导下已经裁定,你需要协助才能照顾好自己,,,但是这跟我有什么关系这是你的名字对吧詹妮弗彼得森你的出生日期你的社保号码和这个地址我的天啊是我做错了什么吗没有女士这是为了帮助你法院在医生的指导下已经裁定你需要协助才能照顾好自己
36,法院已经委派我做你的法定监护人,什么我不,当我们无法充分照顾自己的时候,国家会介入进来提供帮助,有人受苦的时候我们不能坐视不管,我没有受苦,我很好我再好不过了,我不需要帮助,恐怕这不是我或者你来决定的,,,法院已经委派我做你的法定监护人什么我不当我们无法充分照顾自己的时候国家会介入进来提供帮助有人受苦的时候我们不能坐视不管我没有受苦我很好我再好不过了我不需要帮助恐怕这不是我或者你来决定的
37,法院已经做出裁定认为你需要帮助,而作为你的法定监护人,确保你无论什么时候,都受到充分地照料是我的职责所在,让我告诉你吧我从没上过法庭,这是我第一次听说法院找我,在紧急情况下法庭可以在,潜在监护人未到场的情况下开庭,难以置信,,,法院已经做出裁定认为你需要帮助而作为你的法定监护人确保你无论什么时候都受到充分地照料是我的职责所在让我告诉你吧我从没上过法庭这是我第一次听说法院找我在紧急情况下法庭可以在潜在监护人未到场的情况下开庭难以置信
38,女士你必须跟我走,我哪儿也不去,这是法院的命令如果你拒绝执行,恐怕会有一些麻烦,我的天,如果你觉得有什么误会,请向法庭报告申请一场听审,但是现在,我还是建议你暂时跟我去一趟,,,女士你必须跟我走我哪儿也不去这是法院的命令如果你拒绝执行恐怕会有一些麻烦我的天如果你觉得有什么误会请向法庭报告申请一场听审但是现在我还是建议你暂时跟我去一趟
39,我为你找到的疗养所,如果你觉得有什么误会,我们可以在那里解决,这位是弗朗西丝她会帮你收拾行李,早上好很高兴认识你,我不敢相信会发生这种事,完全没事的,别碰我,我很抱歉,,,我为你找到的疗养所如果你觉得有什么误会我们可以在那里解决这位是弗朗西丝她会帮你收拾行李早上好很高兴认识你我不敢相信会发生这种事完全没事的别碰我我很抱歉
40,别碰我,家里很漂亮彼得森女士,交给我吧,我会监督维护你的房产,直到你自己能处理,我们走吧我们只想确保,你的财产能被安全地维护,谢谢你柯蒂斯,安全带,,,别碰我家里很漂亮彼得森女士交给我吧我会监督维护你的房产直到你自己能处理我们走吧我们只想确保你的财产能被安全地维护谢谢你柯蒂斯安全带
41,玛拉情况如何了,她是不是不肯就范,没她收拾好行李就跟我们走了,这些人基本不会反抗,他们看到官方文件和警察,就会乖乖跟我们走了,换我的话可不会乖乖就范,是的你说过,但是本质上我们大多数都很,,,玛拉情况如何了她是不是不肯就范没她收拾好行李就跟我们走了这些人基本不会反抗他们看到官方文件和警察就会乖乖跟我们走了换我的话可不会乖乖就范是的你说过但是本质上我们大多数都很
42,软弱温顺胆小,确实你听说过米尔格拉姆实验吗,现在别聊这个山姆,我们已经在送她过去了,好吧,山姆我们接待她要上全套戏码,收到,巴克夏奥克斯老年人之家,未经许可不得入内,,,软弱温顺胆小确实你听说过米尔格拉姆实验吗现在别聊这个山姆我们已经在送她过去了好吧山姆我们接待她要上全套戏码收到巴克夏奥克斯老年人之家未经许可不得入内
43,欢迎到家,进来吧,我都忘了房间有多大了,是啊,怎么不坐呢,这样就有家的感觉了,他们知道你所有的健康状况,所有你要吃的药,不用担心他们会照顾好一切的,,,欢迎到家进来吧我都忘了房间有多大了是啊怎么不坐呢这样就有家的感觉了他们知道你所有的健康状况所有你要吃的药不用担心他们会照顾好一切的
44,如果你需要我任何时候都可以,不管是白天还是晚上,说一声就行好吗,你有手机吗,解锁吧我会存上我的号码,如果你需要打电话,说一声就行好吗,现在彼得森小姐,我想说我很荣幸能成为你的监护人,,,如果你需要我任何时候都可以不管是白天还是晚上说一声就行好吗你有手机吗解锁吧我会存上我的号码如果你需要打电话说一声就行好吗现在彼得森小姐我想说我很荣幸能成为你的监护人
45,请记住我是你这边的,我是来帮你的,山姆你要像对待女王那样,对待这位女士你听见了吗,她想要什么都行,当然了,保重彼得森女士我们会很快再见的,我们这边还有东西,仅限授权人员通过,,,请记住我是你这边的我是来帮你的山姆你要像对待女王那样对待这位女士你听见了吗她想要什么都行当然了保重彼得森女士我们会很快再见的我们这边还有东西仅限授权人员通过
46,能开门吗我想透透气,你得往那边走,我只是想透透气,能开下门让我透透气吗,你得回去那边,为什么,我需要你回到休息区,你能拿一下这个吗,待售,,,能开门吗我想透透气你得往那边走我只是想透透气能开下门让我透透气吗你得回去那边为什么我需要你回到休息区你能拿一下这个吗待售
47,谢谢这是我的荣幸,拍卖编号,四十五号这位男士,布莱顿房地产拍卖,成交,我喜欢你的翘臀,嗨,不知道能否请你帮我一下,我需要用一下我的手机,,,谢谢这是我的荣幸拍卖编号四十五号这位男士布莱顿房地产拍卖成交我喜欢你的翘臀嗨不知道能否请你帮我一下我需要用一下我的手机
48,你能帮我找一下吗,彼得森女士为了我们贵宾的安全,手机会被放置到保险的地方,我的手机不会伤害到你的,我们的原则是要经过你的监护人,不我不需要我的监护人你知道吗,我可以打给,我能和负责人谈谈吗,莱斯先生现在没时间见你,,,你能帮我找一下吗彼得森女士为了我们贵宾的安全手机会被放置到保险的地方我的手机不会伤害到你的我们的原则是要经过你的监护人不我不需要我的监护人你知道吗我可以打给我能和负责人谈谈吗莱斯先生现在没时间见你
49,莱斯先生就在这儿,但是他没时间见我,莱斯先生,喂女士,冷静,别碰我,我需要你冷静下来,你们为什么要这样碰我,我理解,,,莱斯先生就在这儿但是他没时间见我莱斯先生喂女士冷静别碰我我需要你冷静下来你们为什么要这样碰我我理解
50,我很冷静,离我远点儿,冷静,不别让他们那样对我,彼得森女士我希望你冷静下来,布莱顿信托银行,授权批准资金发放,好了,这是你们银行某个保险柜的钥匙吗,,,我很冷静离我远点儿冷静不别让他们那样对我彼得森女士我希望你冷静下来布莱顿信托银行授权批准资金发放好了这是你们银行某个保险柜的钥匙吗
51,德国马克,接彼得森女士的出租,她已经不住这里了,什么,她搬走了,彼得森小姐搬走了,我弄错了,谢谢,麻烦问一下谁给你打电话的,,,德国马克接彼得森女士的出租她已经不住这里了什么她搬走了彼得森小姐搬走了我弄错了谢谢麻烦问一下谁给你打电话的
52,麻烦问一下,靠,先生就他自己,她去哪儿了,她不在家里,你准时到那儿了,是的先生,不可能,七年来她从来没有错过约定的见面,,,麻烦问一下靠先生就他自己她去哪儿了她不在家里你准时到那儿了是的先生不可能七年来她从来没有错过约定的见面
53,那房子装修了,房子已经被清理了,前门外面挂着待售的标志,里面有人他们在刷墙,我跟一个,拿着布料样品的女人说话她说,她已经不在那里住了,我没明白,里面都是谁她现在在哪儿,,,那房子装修了房子已经被清理了前门外面挂着待售的标志里面有人他们在刷墙我跟一个拿着布料样品的女人说话她说她已经不在那里住了我没明白里面都是谁她现在在哪儿
54,我不知道我直接来的这里,你明明知道这对我有多重要,也没想着去问问吗,你没想过要了解一下基本情况吗,先生如果我,求你了先生,求你了,我想我可以趁着别人,你搞砸了亚历克西,,,我不知道我直接来的这里你明明知道这对我有多重要也没想着去问问吗你没想过要了解一下基本情况吗先生如果我求你了先生求你了我想我可以趁着别人你搞砸了亚历克西
55,我非常爱我的妈妈,而这种日子这种我们偶尔,一起度过的几天日子,是对我的赐福,是的先生当然了,所以你去找到她,然后把她带到我这儿,立刻,没问题好的先生,,,我非常爱我的妈妈而这种日子这种我们偶尔一起度过的几天日子是对我的赐福是的先生当然了所以你去找到她然后把她带到我这儿立刻没问题好的先生
56,然后我打开了袋子,你猜里面是什么,钻石,很多钻石,纯裸钻,这是她保险箱的保单,她列出了黄金首饰债券,但是没有钻石,她给六百美元的手表买了保险,,,然后我打开了袋子你猜里面是什么钻石很多钻石纯裸钻这是她保险箱的保单她列出了黄金首饰债券但是没有钻石她给六百美元的手表买了保险
57,但是没保几百万美元的钻石,你觉得它们是被偷来的,有可能,她看起来不像那种人,别被老人给骗了,即使是虐待狂和无耻的混蛋也会变老,但你落下了重点,重点是这些钻石不是公开存在的,所以,,,但是没保几百万美元的钻石你觉得它们是被偷来的有可能她看起来不像那种人别被老人给骗了即使是虐待狂和无耻的混蛋也会变老但你落下了重点重点是这些钻石不是公开存在的所以
58,没人会惦记它们,你想偷走它们,不,我想改变保管它们的位置,存放一段时间,看看会发生什么,有事,抱歉先生我可以晚点再过来,你找到我妈妈了吗,,,没人会惦记它们你想偷走它们不我想改变保管它们的位置存放一段时间看看会发生什么有事抱歉先生我可以晚点再过来你找到我妈妈了吗
59,算是吧,她在一所养老院里,出售,据我目前所知先生我无法进去,先生最后一批毒骡今天早上到了,运送过程中有损失吗,三个,我们会在梅德菲尔德的房子那儿,从他们手里拿到货,,,算是吧她在一所养老院里出售据我目前所知先生我无法进去先生最后一批毒骡今天早上到了运送过程中有损失吗三个我们会在梅德菲尔德的房子那儿从他们手里拿到货
60,那是我要的奶昔吗,我没明白,她把自己送进了养老院,不是,她是被法院命令送去的,她现在是政府的被监护人了,你妈妈的医生,认为她没有能力照顾自己,这不是纯属胡扯嘛,,,那是我要的奶昔吗我没明白她把自己送进了养老院不是她是被法院命令送去的她现在是政府的被监护人了你妈妈的医生认为她没有能力照顾自己这不是纯属胡扯嘛
61,是啊先生,所以怎么会这样呢,玛拉葛蕾森,我认为这是她干的,她是你母亲的监护人,她现在完全接管了,你母亲的人生和财产,操,打给迪恩,,,是啊先生所以怎么会这样呢玛拉葛蕾森我认为这是她干的她是你母亲的监护人她现在完全接管了你母亲的人生和财产操打给迪恩
62,把我妈妈带出那个养老院,保障她的安全,要在暗中解决,解决得合法且干脆一点,别把我牵扯进去,好的先生,不,照片留下,玛拉葛蕾森很高兴认识你,,,把我妈妈带出那个养老院保障她的安全要在暗中解决解决得合法且干脆一点别把我牵扯进去好的先生不照片留下玛拉葛蕾森很高兴认识你
63,迪恩埃里克森,他说他有预约但他不在名单里,请允许我占用你五分钟的时间,这非常重要,你可以占用两分钟,办公室真漂亮,很有格调,这些都是你的被监护人,我有什么可以效劳的,,,迪恩埃里克森他说他有预约但他不在名单里请允许我占用你五分钟的时间这非常重要你可以占用两分钟办公室真漂亮很有格调这些都是你的被监护人我有什么可以效劳的
64,埃里克森先生,身上担着这么多人的责任,你一定忙得不可开交吧,我可以想象到文书工作有多繁重,请坐有话直说吧,我是一位律师,我不需要律师,我代理詹妮弗彼得森,真的吗,,,埃里克森先生身上担着这么多人的责任你一定忙得不可开交吧我可以想象到文书工作有多繁重请坐有话直说吧我是一位律师我不需要律师我代理詹妮弗彼得森真的吗
65,是的我觉得存在着什么误会,你看我的客户非常有能力照顾自己,她不需要像你这样的一位监护人,当然了我并不是在表达不满,我确定你为彼得森女士,提供了绝对优秀的看护服务,但是实际情况是,她既不需要也不想要你的看护,她自己一个人很好,,,是的我觉得存在着什么误会你看我的客户非常有能力照顾自己她不需要像你这样的一位监护人当然了我并不是在表达不满我确定你为彼得森女士提供了绝对优秀的看护服务但是实际情况是她既不需要也不想要你的看护她自己一个人很好
66,她打给你了,什么,她在疗养院里打电话给你了,她打了,你上次见她是什么时候,不久之前,那是多久,就几周吧,几周呢两周三周四周,,,她打给你了什么她在疗养院里打电话给你了她打了你上次见她是什么时候不久之前那是多久就几周吧几周呢两周三周四周
67,三周也许四周三周,她很好她再好不过了,她大多数时间比我还更健康更专注,恐怕这就解释得通了,两周前詹妮弗的健康出现了,严重恶化,她出现了记忆衰退,这是老年痴呆的表现,而她的医生非常担心她,,,三周也许四周三周她很好她再好不过了她大多数时间比我还更健康更专注恐怕这就解释得通了两周前詹妮弗的健康出现了严重恶化她出现了记忆衰退这是老年痴呆的表现而她的医生非常担心她
68,她向法院寻求紧急帮助,这都是瞎掰的葛蕾森女士,你清楚我也清楚,如果医生真的写了批条,那他也很清楚,她,什么,她医生是位女士,好,,,她向法院寻求紧急帮助这都是瞎掰的葛蕾森女士你清楚我也清楚如果医生真的写了批条那他也很清楚她什么她医生是位女士好
69,现在,我知道你在玩什么,我了解你的游戏你的强取豪夺,是吗,我知道,老实说这是个好办法,你看到了机会就抓住了,看看你墙上挂的这些摇钱树,不断地往你的账户里送钱,,,现在我知道你在玩什么我了解你的游戏你的强取豪夺是吗我知道老实说这是个好办法你看到了机会就抓住了看看你墙上挂的这些摇钱树不断地往你的账户里送钱
70,简直日进斗金,你干得很好我不是来毁你生意的,你能继续榨干这群又穷又脆弱的人,我很为你开心,你干得越久越好,天啊如果你的事业不是美国梦的,完美案例,我就不知道什么才是了,但是詹妮弗彼得森不行,,,简直日进斗金你干得很好我不是来毁你生意的你能继续榨干这群又穷又脆弱的人我很为你开心你干得越久越好天啊如果你的事业不是美国梦的完美案例我就不知道什么才是了但是詹妮弗彼得森不行
71,没人可以碰她,我理解我明白你为什么瞄准了她,我只是按照医生的建议做的,是啊当然,我们暂且认为是这样,但是她的医生误诊了,听懂了吗他抱歉她搞砸了,詹妮弗需要尽快脱离你的看护,你需要让那个女医生再写一封信,,,没人可以碰她我理解我明白你为什么瞄准了她我只是按照医生的建议做的是啊当然我们暂且认为是这样但是她的医生误诊了听懂了吗他抱歉她搞砸了詹妮弗需要尽快脱离你的看护你需要让那个女医生再写一封信
72,说詹妮弗完全康复了,并且不再需要受到监护人的照顾了,我为什么要这样做,这个嘛,我能想到两个理由,第一这样做是正确的,不过我猜这对你来说毫无意义,第二因为她有几个,可以让你过不得舒服的,,,说詹妮弗完全康复了并且不再需要受到监护人的照顾了我为什么要这样做这个嘛我能想到两个理由第一这样做是正确的不过我猜这对你来说毫无意义第二因为她有几个可以让你过不得舒服的
73,很有权势的朋友,极度地不开心不舒服,这是威胁吗,不这只是你需要知道的背景资料,能有多不舒服,极度残忍的不舒服,然后最终,好吧,这样说吧你就再也感受不到,,,很有权势的朋友极度地不开心不舒服这是威胁吗不这只是你需要知道的背景资料能有多不舒服极度残忍的不舒服然后最终好吧这样说吧你就再也感受不到
